2025-09-08T16:52:48: [Mon Sep  8 16:52:48 2025] PHP 8.3.6 Development Server (http://localhost:8000) started
2025-09-08T16:57:29: [Mon Sep  8 16:57:29 2025] 127.0.0.1:38668 Accepted
2025-09-08T16:57:29: [Mon Sep  8 16:57:29 2025] 127.0.0.1:38668 [404]: GET /sections?iblock_id=21&tree_mode=flat&depth=3&with_element_count=Y - No such file or directory
2025-09-08T16:57:29: [Mon Sep  8 16:57:29 2025] 127.0.0.1:38668 Closing
2025-09-08T16:57:29: [Mon Sep  8 16:57:29 2025] 127.0.0.1:38682 Accepted
2025-09-08T16:57:29: [Mon Sep  8 16:57:29 2025] 127.0.0.1:38682 [404]: GET /catalog?iblock_id=21&limit=8&sort=date_create:desc&active=Y&in_stock=Y&has_price=Y - No such file or directory
2025-09-08T16:57:29: [Mon Sep  8 16:57:29 2025] 127.0.0.1:38682 Closing
2025-09-08T16:57:29: [Mon Sep  8 16:57:29 2025] 127.0.0.1:38686 Accepted
2025-09-08T16:57:29: [Mon Sep  8 16:57:29 2025] 127.0.0.1:38686 [404]: GET /catalog?action=brands&iblock_id=21&brands_iblock_id=22&with_products_count=Y&limit=8&image_resize=150x150&with_products=Y - No such file or directory
2025-09-08T16:57:29: [Mon Sep  8 16:57:29 2025] 127.0.0.1:38686 Closing
2025-09-08T16:57:29: [Mon Sep  8 16:57:29 2025] 127.0.0.1:38688 Accepted
2025-09-08T16:57:29: [Mon Sep  8 16:57:29 2025] 127.0.0.1:38688 [404]: GET /catalog?iblock_id=21&property[BESTSELLER]=Y&limit=8&sort=sort:asc - No such file or directory
2025-09-08T16:57:29: [Mon Sep  8 16:57:29 2025] 127.0.0.1:38688 Closing
2025-09-08T16:57:29: [Mon Sep  8 16:57:29 2025] 127.0.0.1:38690 Accepted
2025-09-08T16:57:29: [Mon Sep  8 16:57:29 2025] 127.0.0.1:38690 [404]: GET /catalog?iblock_id=27&format=minimal - No such file or directory
2025-09-08T16:57:29: [Mon Sep  8 16:57:29 2025] 127.0.0.1:38690 Closing
2025-09-08T16:57:29: [Mon Sep  8 16:57:29 2025] 127.0.0.1:38692 Accepted
2025-09-08T16:57:29: [Mon Sep  8 16:57:29 2025] 127.0.0.1:38692 [404]: GET /basket - No such file or directory
2025-09-08T16:57:29: [Mon Sep  8 16:57:29 2025] 127.0.0.1:38692 Closing
2025-09-08T16:57:53: [Mon Sep  8 16:57:53 2025] 127.0.0.1:58384 Accepted
2025-09-08T16:57:53: [Mon Sep  8 16:57:53 2025] 127.0.0.1:58384 [404]: GET /sections?iblock_id=21&tree_mode=flat&depth=3&with_element_count=Y - No such file or directory
2025-09-08T16:57:53: [Mon Sep  8 16:57:53 2025] 127.0.0.1:58384 Closing
